stno,name,Lon,Lat
466850,五分山雷達站,121.7812,25.0712
466880,板橋,121.442,24.9976
466900,淡水,121.4489,25.1649
466910,鞍部,121.5297,25.1826
466920,臺北,121.5149,25.0377
466930,竹子湖,121.5445,25.1621
466940,基隆,121.7405,25.1333
466950,彭佳嶼,122.0797,25.628
466990,花蓮,121.6133,23.9751
467050,新屋,121.0475,25.0067
467060,蘇澳,121.8574,24.5967
467080,宜蘭,121.7565,24.764
467110,金門,118.2893,24.4073
467300,東吉島,119.6675,23.257
467350,澎湖,119.5631,23.5655
467410,臺南,120.2048,22.9932
467420,永康,120.2367,23.0384
467440,高雄,120.3157,22.566
467480,嘉義,120.4329,23.4959
467490,臺中,120.6841,24.1457
467530,阿里山,120.8132,23.5082
467540,大武,120.9038,22.3557
467550,玉山,120.9595,23.4876
467571,新竹,121.0142,24.8279
467590,恆春,120.7463,22.0039
467610,成功,121.3734,23.0975
467620,蘭嶼,121.5583,22.037
467650,日月潭,120.9081,23.8813
467660,臺東,121.1546,22.7522
467770,梧棲,120.5234,24.256
467990,馬祖,119.9234,26.1693
